idsml,idver,zverejneni,uzavreni,subjekt,ico,utvar,cena_bezdph,cena_sdph,cena_cizi,cena_cizi_mena,predmet,navazny
11613,11961,2016-07-18T14:30:08+02:00,2016-07-18,"Nemocnice Tábor, a.s.",26095203,,,181750.41,,,Objednávka - SZM,
11617,11965,2016-07-18T14:30:15+02:00,2016-07-01,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Montáž,
11621,11969,2016-07-18T14:31:12+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Montáž,
11625,11973,2016-07-18T14:30:21+02:00,2016-07-13,Královéhradecký kraj,70889546,,200000.0,200000.0,,,poskytnutí dotace na individuální účel,
11629,11977,2016-07-18T14:30:25+02:00,2016-07-13,Královéhradecký kraj,70889546,,300000.0,300000.0,,,poskytnutí dotace na individuální účel,
11633,11981,2016-07-18T14:30:20+02:00,2016-07-18,Psychiatrická nemocnice Bohnice,00064220,,102006.0,123427.0,,,smlouva o zajištění softwarových produktů Microsoft,
11637,11985,2016-07-18T14:30:42+02:00,2016-07-08,"Domovní správa Prostějov, s.r.o.",26259893,,88550.0,107145.5,,,"Oprava povrchu vlysových podlah v 1 n.p. - Národní dům - Vojáčkovo nám., Prostějov",
11641,11989,2016-07-18T14:31:22+02:00,2016-07-13,"Krajská nemocnice T. Bati, a. s.",27661989,,,,,,poskytování informačního systému,
11645,11993,2016-07-18T14:32:08+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Montáž,
11649,11997,2016-07-18T14:31:28+02:00,2016-01-14,Správa KRNAP,00088455,,166376.0,,,,Smlouva o dílo - opravy cest po přívalových deštích - LC Modrý důl,
11653,12001,2016-07-18T14:31:26+02:00,2016-07-15,Správa KRNAP,00088455,,3082000.0,,,,Smlouva o dílo na vrtulníkové přibližování dřeva,
11657,12005,2016-07-18T14:33:06+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Montáž,
11661,12009,2016-07-18T14:33:22+02:00,2016-06-30,Psychiatrická nemocnice Bohnice,00064220,,998426.0,1208095.0,,,kupní smlouvy na vybavení interiéru pavilonu 16 nábytkem zhotoveným na míru,
11665,12013,2016-07-18T14:34:20+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Montáž,
11669,12017,2016-07-18T14:34:02+02:00,2015-11-18,MV - generální ředitelství HZS ČR,00007064,Ministerstvo vnitra,2436780.0,2948503.8,,,Balistická ochrana končetin,
11673,12021,2016-07-18T14:35:19+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Montáž,
11677,12025,2016-07-18T14:35:15+02:00,2016-07-14,Ústecký kraj,70892156,,100000.0,100000.0,,,Smlouva o poskytnutí neinvestiční dotace č. 16/SML3144,
11681,12029,2016-07-18T14:36:17+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Montáž,
11685,12033,2016-07-18T14:35:55+02:00,2016-07-12,Jihomoravský kraj,70888337,Odbor Kancelář ředitelky,197103.0,238494.63,,,SLU - rekonstrukce betonové podlahy místnost 327 ŽN3,
11689,12037,2016-07-18T14:39:12+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Montáž,
11693,12041,2016-07-18T14:38:26+02:00,2016-07-11,MV - generální ředitelství HZS ČR,00007064,OBP PK,,135000.0,,,PK 2016 - R 203(nahrazuje R 117) Plzeň,
11697,12045,2016-07-18T14:38:57+02:00,2016-07-18,statutární město Děčín,00261238,OMH - Odbor místního hospodářství a majetku města,,4327.0,,,kupní smlouva,
11701,12049,2016-07-18T14:39:31+02:00,2016-07-08,MV - generální ředitelství HZS ČR,00007064,"Odbor koncepce, architektury a projektů IKT",,,,,D1 ke sml. na dodávku formuláře spr. ev.,8897
11705,12053,2016-07-18T14:41:19+02:00,2016-07-13,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",00090450,,,90988.0,,,"Smlouva na inženýrskogeologický průzkum, Přibyslavice",
11709,12057,2016-07-18T14:40:52+02:00,2016-07-18,"Armádní Servisní, příspěvková organizace",60460580,,192200.0,,,,Smlouva o dílo,
11713,12061,2016-07-18T14:40:52+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,montáž,
11717,12065,2016-07-18T14:42:11+02:00,2016-07-01,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Projektová dokumentace,
11721,12069,2016-07-18T14:42:15+02:00,2016-06-29,MV - generální ředitelství HZS ČR,00007064,Ministerstvo vnitra,1433400.0,1734414.0,,,Balistická ochrana končetin,11669
11725,12073,2016-07-18T14:46:11+02:00,2016-07-01,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Servis,
11729,12077,2016-07-18T14:45:32+02:00,2016-07-18,statutární město Děčín,00261238,OMH - Odbor místního hospodářství a majetku města,,,,,Smlova o budoucí smlouvě kupní,
11733,12081,2016-07-18T14:46:11+02:00,2016-07-14,Pardubický kraj,70892822,OŽPZ - oddělení ochrany přírody,,110789.0,,,Finanční podpory na hospodaření v lesích - obnovaa výchova porostů,
11737,12085,2016-07-18T14:46:14+02:00,2016-07-14,Pardubický kraj,70892822,OŽPZ - oddělení ochrany přírody,,300000.0,,,POV Úpravy veřejných prostranství,
11741,12089,2016-07-18T14:47:07+02:00,2016-07-01,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Servis,
11745,12093,2016-07-18T14:47:59+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Servis,
11749,12097,2016-07-18T14:49:09+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Servis,
11757,12101,2016-07-18T14:50:05+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Servis,
11761,12105,2016-07-18T14:49:24+02:00,2016-07-11,"Krajská nemocnice T. Bati, a. s.",27661989,,103040.0,,,,poskytnutí fin. prostředků pro NOR,
11765,12109,2016-07-18T14:50:03+02:00,2016-07-18,KruV - RS (Kraj Vysočina),70890749,,,100000.0,,,"Dar dobročinnému fondu ViZa: pomoc partnerskému regionu Zakarpatská oblast Ukrajiny při řešení mimořádné události - živelné pohromy 
ID O01781",
11769,12113,2016-07-18T14:50:02+02:00,2016-07-14,"Muzeum Vysočiny Třebíč, příspěvková organizace",00091766,,,96000.0,,,"Restaurování obrazu ze sbírky MVT, inv. č. 1 15 219, Jan de Herdt, Portrét Zbyňky z Kolovrat, olej na plátně -  restaurování probíhá v rámci programu ISO/D - preventivní ochrana před nepříznivými vlivy prostředí 2016 pod záštitou MK ČR.",
11773,12117,2016-07-18T14:50:53+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Serivs,
11777,12121,2016-07-18T14:51:44+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Servis,
11781,12125,2016-07-18T14:51:45+02:00,2016-07-08,"Kongresové centrum Praha, a.s.",63080249,,59560.0,,,,"objednávka: Projektová dokumentace pochozí lávky včetně zábradlí a schodů, pomocné nosníky HEA 100 k OK.",
11785,12129,2016-07-18T14:53:03+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Servis,
11789,12133,2016-07-18T14:53:55+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Servis,
11793,12137,2016-07-18T14:54:43+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Servis,
11797,12141,2016-07-18T14:56:03+02:00,2016-07-04,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",00514152,,,,,,Výmalba,
11801,12145,2016-07-18T14:56:23+02:00,2016-07-01,"Řízení letového provozu České republiky, státní podnik (ŘLP ČR, s.p.)",49710371,,,,,,"Zajištění nadstandardní péče a organizace následné individuální péče pro zaměstnance ŘLP ČR, s.p. - dílčí plnění 3. Q 2016",
11805,12149,2016-07-18T14:57:02+02:00,2016-07-13,Úřad pro zastupování státu ve věcech majetkových,69797111,,,,,,Smlouva o bezúplatném převodu vlastnického práva k nemovité věci,
11809,12153,2016-07-18T14:57:45+02:00,2016-07-18,"Středisko společných činností AV ČR, v. v. i.",60457856,,76300.0,,,,Tisk a knihařské zpracování titulu Osobnost v pozadí: Jan Jína ve vzpomínkách a v korespondenci,
11813,12157,2016-07-18T14:58:00+02:00,2016-06-28,Město Šumperk,00303461,Odbor majetkoprávní,,1999636.32,,,"Hlavní třída 31, Šumperk - oprava podlahy a osvětlení v tělocvičně",
11817,12161,2016-07-18T14:58:39+02:00,2016-07-15,"Hvězdárna a planetárium Brno, příspěvková organizace",00101443,,115000.0,139150.0,,,Realizace potisku reklamní tramvaje,
11821,12165,2016-07-18T14:59:21+02:00,2016-07-15,Technologická agentura ČR,72050365,,1643051.95,,,,Smlouva o poskytnutí podpory,
11825,12169,2016-07-18T15:00:04+02:00,2016-07-14,"Muzeum Vysočiny Třebíč, příspěvková organizace",00091766,,,90000.0,,,"Restaurování obrazu ze sbírky MVT, inv. č. 1 15 436, Jan de Herdt, Křest Kristův, olej na plátně -  restaurování probíhá v rámci programu ISO/D - preventivní ochrana před nepříznivými vlivy prostředí 2016 pod záštitou MK ČR.",
11829,12173,2016-07-18T15:00:16+02:00,2016-07-18,"Letiště Praha, a. s.",28244532,,,,,,výroba a dodání map,
11833,12177,2016-07-18T15:00:14+02:00,2016-07-18,"Letiště Praha, a. s.",28244532,,,,,,Dodávky výsekového masa,
11837,12181,2016-07-18T15:00:11+02:00,2016-07-18,"Letiště Praha, a. s.",28244532,,,,,,Dodávky výsekového masa,
11845,12189,2016-07-18T15:02:30+02:00,2016-07-15,Liberecký kraj,70891508,,90000.0,108900.0,,,Smlouva o poskytnutí projektové činnosti - Zpracování PD pro opatření Podpora populace kuňky ohnivé v EVL Manušické rybníky,
11849,12193,2016-07-18T15:03:14+02:00,2016-07-15,"Povodí Ohře, státní podnik",70889988,,1329999.0,,,,VT Blatenský potok – rekonstrukce opevnění Horní Blatná,
11853,12197,2016-07-18T15:03:02+02:00,2016-07-18,Město Lipník nad Bečvou,00301493,,,20000.0,,,odkoupení parcely p. č. 1217/42 v k. ú. Lipník nad Bečvou včetně stavby komunikace a veřejného osvětlení,
11857,12201,2016-07-18T15:03:14+02:00,2016-07-15,"Povodí Ohře, státní podnik",70889988,,840714.0,,,,VD Křímov - oprava schodiště podél paty hráze,9957
11861,12205,2016-07-18T15:03:15+02:00,2016-07-15,"Povodí Ohře, státní podnik",70889988,,3080000.0,,,,Radčický potok (Litvínov) – oprava opevnění,
11865,12209,2016-07-18T15:03:16+02:00,2016-07-15,"Povodí Ohře, státní podnik",70889988,,423989.0,,,,Oprava LB zdi Bystré v H. Habarticích u Culků - pod mostkem,
11869,12213,2016-07-18T15:03:17+02:00,2016-07-12,"Povodí Ohře, státní podnik",70889988,,119500.47,,,,Hutní potok (Zaječice) - TN,9517
11873,12217,2016-07-18T15:03:26+02:00,2016-01-19,"Povodí Ohře, státní podnik",70889988,,752400.2,,,,"RH Přísečnice, hala líhně – obklad fasády",
11877,12221,2016-07-18T15:03:49+02:00,2016-07-01,Technické služby města Nového Jičína,00417688,,,,,,Dodatek ke Smlouvě o sdružených službách dodávky elektřiny pro hladinu NN ze dne 28. 6. 2016,
11881,12225,2016-07-18T15:03:31+02:00,2015-06-01,"Povodí Ohře, státní podnik",70889988,,39398542.51,,,,"OPŠ 06/2013 – Kamenice v České Kamenici (21,840 – 22,350)",
11885,12229,2016-07-18T15:04:26+02:00,2016-07-18,Úřad pro zastupování státu ve věcech majetkových,69797111,,,,,,id. spoluvlastnický podíl ve výši 1/117 pozemku p.p.č. 469/11 v k.ú. Zvířetice,
11889,12233,2016-07-18T15:07:10+02:00,2016-07-15,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",00090450,,,345710.0,,,"Kupní smlouva, motorová nafta, Třebíč",3785
11893,12237,2016-07-18T15:07:39+02:00,2016-07-11,Město Roudnice nad Labem,00264334,,1007146.0,1218647.0,,,SOD - Veřejné osvětlení v ulicích Palackého a Prokopova,
11897,12241,2016-07-18T15:09:16+02:00,2016-06-30,Město Nové Město na Moravě,00294900,,,56000.0,,,"poskytnutí účelové veřejné finanční podpory z Fondu Vysočiny na realizaci akce ""Web 2.0 Nové Město na Moravě""",
11901,12245,2016-07-18T15:11:38+02:00,2016-07-18,Masarykova univerzita,00216224,,238484.95,,,,"smlouva o dílo - mytí, čištění a lokální opravy na budově ESF v Brně",
11905,12249,2016-07-18T15:12:18+02:00,2016-07-07,Královéhradecký kraj,70889546,,,600000.0,,,Vodovod Údrnice,
11909,12253,2016-07-18T15:12:20+02:00,2016-07-07,Královéhradecký kraj,70889546,,,1000000.0,,,Vodovod Dětenice - Osenice - řad PE 110 a úpravna vody se skladem a dílnou,
11913,12257,2016-07-18T15:12:21+02:00,2016-07-07,Královéhradecký kraj,70889546,,,1500000.0,,,"Splašková kanalizace v ul. Osvobození, České Meziříčí",
11917,12261,2016-07-18T15:12:22+02:00,2016-07-07,Královéhradecký kraj,70889546,,,2200000.0,,,"Suchovršice, Lhotka - vodovod",
11925,12269,2016-07-18T15:12:32+02:00,2016-07-07,Královéhradecký kraj,70889546,,,800000.0,,,"Výstavba infrastruktury - vodovod na p.p.č. 244/1, 244/6 a 237/3 v k.ú. Chvaleč",
11929,12273,2016-07-18T15:12:33+02:00,2016-07-07,Královéhradecký kraj,70889546,,,77000.0,,,Pořízení kontejnerů na bioodpady a kovy,
11937,12281,2016-07-18T15:15:28+02:00,2016-07-18,Regionální pracoviště Ústecko (Agentura ochrany přírody a krajiny České republiky),62933591,,102336.0,102336.0,,,"Posečení xerotermních trávníků, k.ú. Lovčice u Nového Bydžova, k.ú. Kněžičky a k.ú. Žehuň",
11941,12285,2016-07-18T15:16:27+02:00,2016-06-30,Město Nové Město na Moravě,00294900,,,139552.0,,,"poskytnutí účelové veřejné finanční podpory z Fondu Vysočiny na realizaci akce ""Bezpečná síť Nové Město na Moravě""",
11945,12289,2016-07-18T15:18:35+02:00,2016-07-15,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",00090450,,,929703.0,,,"Kupní smlouva,ACO11+, Třebíč",
11949,12293,2016-07-18T15:20:40+02:00,2016-06-30,Město Nové Město na Moravě,00294900,,,250563.0,,,"poskytnutí účelové veřejné finanční podpory z Fondu Vysočiny na realizaci akce ""VDI Radnice rozšíření II""",
11953,12301,2016-07-18T15:27:24+02:00,2016-07-14,"Kongresové centrum Praha, a.s.",63080249,,98280.0,,,,Pravidelné revize,
11957,12305,2016-07-18T15:27:06+02:00,2016-04-25,Fakturace (Ministerstvo obrany),60162694,A499,,1210000.0,,,Opravy nákladních vozidel na rok 2016,
11961,12309,2016-07-18T15:27:29+02:00,2016-07-18,Fakultní nemocnice Brno,65269705,,,100009.0,,,Objednávka ZM,
11965,12313,2016-07-18T15:31:37+02:00,2016-07-07,"Domov důchodců Rokytnice nad Jizerou, příspěvková organizace",00085782,,81420.0,98518.0,,,židle IMPULS A  - 30ks,
11969,12317,2016-07-18T15:32:18+02:00,2016-07-07,Městská část Praha 4,00063584,,675000.0,,,,Kupní a zástavní smlouva - prodej pozemku,
11973,12321,2016-07-18T15:33:26+02:00,2016-07-12,Olomoucký kraj,60609460,Odbor kancelář ředitele,500000.0,500000.0,,,ÚZ 00420 Financování základních složek IZS - z rezervy pro krizové řízení - materiálně - technické vybavení kolektivů mladých hasičů pro celostátní hry PLAMEN a dorostu 2015/2016,
11977,12325,2016-07-18T15:33:06+02:00,2016-07-15,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",00090450,,,929703.0,,,"Kupní smlouva, ACO11+, Třebíč, Budišov-Hodov-II.etapa",
11985,12333,2016-07-18T15:34:31+02:00,2016-07-18,Lesy hl. m. Prahy,45247650,,4075000.0,,,,Dodávka nákladního vozidla - nosiče kontejnerů,
11989,12337,2016-07-18T15:36:28+02:00,2016-07-18,Zlínský kraj,70891320,"Odbor školství, mládeže a sportu",,60000.0,,,Smlouva o poskytnutí neinvestiční dotace z Fondu Zlínského kraje,
11997,12345,2016-07-18T15:39:28+02:00,2016-07-13,Královéhradecký kraj,70889546,,300000.0,300000.0,,,poskytnutí dotace na individuální účel,
12001,12349,2016-07-18T15:39:29+02:00,2016-07-07,Královéhradecký kraj,70889546,,,70000.0,,,Finanční dar soutěže Čistá obec za 2015,
12005,12353,2016-07-18T15:40:02+02:00,2016-06-30,KruV - RS (Kraj Vysočina),70890749,,,37084.95,,,Partnerská smlouva k projektu Potravinová pomoc dětem v Kraji Vysočina.,
12009,12357,2016-07-18T15:40:04+02:00,2016-07-18,KruV - RS (Kraj Vysočina),70890749,,,10.0,,,"Nájem části pozemku par. č. 1161 v k. ú. Kozlov u Jihlavy
OM 1237/2014",
12013,12361,2016-07-18T15:45:40+02:00,2016-07-12,Správa Pražského hradu,49366076,,1224499.35,1481644.22,,,Dodatek č.1 ke Smlouvě o sdružených službách dodávky zemního plynu,
12017,12365,2016-07-18T15:46:07+02:00,2016-07-18,Město Orlová,00297577,Právní odbor,,,,,Rámcová smlouva o provádění nepeněžitých exekucí - Mgr. Simona Kiselová,
12021,12369,2016-07-18T15:48:36+02:00,2016-07-13,MĚSTO NÁCHOD,00272868,,464712.48,,,,"Vybudování a doplnění stávajících herních prvků dětského hřiště v  MŠ Myslbekova, varianta II. a IV.",
12029,12377,2016-07-18T15:51:45+02:00,2016-07-12,Město Roudnice nad Labem,00264334,OMH,311956.0,377467.0,,,SOD - Veřejné osvětlení ulice Přemyslova,
12033,12381,2016-07-18T15:52:05+02:00,2016-07-11,Státní pozemkový úřad,01312774,,148250.0,,,,Kupní smlouva,
12037,12385,2016-07-18T15:52:40+02:00,2016-07-11,Městská část Praha 2,00063461,,,,,,Psí den O110/2016/0113/OKS,
12045,12393,2016-07-18T15:54:17+02:00,2016-07-12,Statutární město Jablonec nad Nisou,00262340,,50000.0,,,,Smlouva o poskytnutí finančního příspěvku,
12049,12397,2016-07-18T15:54:53+02:00,2016-07-12,"Česká pošta, s.p.",47114983,,,,,,Obchodní psaní,
12053,12401,2016-07-18T15:58:14+02:00,2016-07-18,MĚSTO NÁCHOD,00272868,,990463.7,,,,"Zabezpečení provozu systému nakládání s komunálními odpady vznikajícími na území města Náchod, v období od 1.8.2016 do 31.8.2016 (4 týdny + PO, ÚT, ST).",
12057,12405,2016-07-18T16:00:04+02:00,2016-07-18,KruV - RS (Kraj Vysočina),70890749,,,154.0,,,Smlouva zakládající právo provést stavbu a smlouva nájemní na část pozemků par. č. 1178/30 a 1194 v k. ú. Kozlov u Jihlavy,
12065,12413,2016-07-18T16:01:29+02:00,2016-07-13,Město Vyškov,00292427,kancelář starosty a tajemníka,208551.0,252347.0,,,Prováděcí smlouva č.2016_050 k Rámcové smlouvě na pořizování licencí k produktům Microsoft ze dne 1.12.2014,
12069,12417,2016-07-18T16:02:14+02:00,2016-07-15,Město Stříbro,00260177,,69644.0,84270.0,,,Objednávka „Tanet_01_2016“ – Rozšíření MKDS Stříbro 2016 - hřiště gymnázium,
12073,12421,2016-07-18T16:08:27+02:00,2016-07-18,Statutární město Jablonec nad Nisou,00262340,,,51000.0,,,Smlouva o poskytnutí účelové neinvestiční dotace z rozpočtu SMJN,
12077,12425,2016-07-18T16:13:20+02:00,2016-07-14,Městský obvod Vítkovice,00845451,,197246.0,226833.0,,,"Objednávka na vícepráce k opravě volného bytu č. 2 v bytovém domě Slezská 390/13, O.-Hrabůvka",
12081,12429,2016-07-18T16:13:45+02:00,2016-07-08,Jihomoravský kraj,70888337,Odbor regionálního rozvoje,,192000.0,,,DOT - RKPP3 - Základní článek Hnutí Brontosaurus Modrý kámen - Dokončení rekonstrukce hrázděného zdiva objektu SO 01 Švýcárna,
12085,12433,2016-07-18T16:20:03+02:00,2016-07-15,KruV - RS (Kraj Vysočina),70890749,,,,,,Smlouva o zajištění dopravní obslužnosti území Kraje Vysočina veřejnou linkovou osobní dopravou v souvislosti se zadávacím řízením Jihomoravského kraje na výběr autobusových dopravců pro oblast Znojemska,
12089,12437,2016-07-18T16:20:50+02:00,2016-06-27,MSK registr smluv (Moravskoslezský kraj),70890692,Odbor kancelář ředitele krajského úřadu,,107602.15,,,grafický návrh a vyhotovení propagačních nástrojů,
12093,12441,2016-07-18T16:23:03+02:00,2016-06-29,MSK registr smluv (Moravskoslezský kraj),70890692,Odbor kancelář ředitele krajského úřadu,,71269.0,,,Objednávka na prezentační systém.,
12097,12445,2016-07-18T16:29:26+02:00,2016-07-13,MSK registr smluv (Moravskoslezský kraj),70890692,Odbor kancelář ředitele krajského úřadu,,60500.0,,,opravy výahů OTIS - celoroční,
12101,12449,2016-07-18T16:31:13+02:00,2016-07-01,MSK registr smluv (Moravskoslezský kraj),70890692,Odbor kancelář ředitele krajského úřadu,,157537.0,,,Objednávka na zhotovení a instalaci polepů na letišti Leoše Janáčka Ostrava.,
12105,12453,2016-07-18T16:31:43+02:00,2016-07-18,Město Nový Bor,00260771,,,,,,Obnova části povrchů v ul. B. Egermanna Nový Bor,
12109,12457,2016-07-18T16:34:21+02:00,2016-07-15,Technologická agentura ČR,72050365,,640800.0,,,,Smlouva o poskytnutí podpory,
12121,12469,2016-07-18T16:41:59+02:00,2016-07-18,Město Moravské Budějovice,00289931,Odbor finanční a obecní živnostenský úřad,,135841.0,,,Smlouva o dílo,
12125,12473,2016-07-18T16:46:17+02:00,2016-07-13,Liberecký kraj,70891508,,130000.0,,,,Smlouva o poskytnutí dotace z Dotačního fondu LK - Podpora jednotek požární ochrany obcí LK,
12129,12477,2016-07-18T16:47:54+02:00,2016-07-01,Statutární město Mladá Boleslav,00238295,,,,,,Směnná smlouva Ptácká X Zálužanská,
12133,12481,2016-07-18T16:50:12+02:00,2016-07-11,Státní pozemkový úřad,01312774,,57600.0,,,,Kupní smlouva,
12141,12485,2016-07-18T17:14:28+02:00,2016-07-14,Městská část Praha 4,00063584,,315700.0,381997.0,,,Výroba obrazového a zvukového materiálu,
12145,12489,2016-07-18T17:28:38+02:00,2014-10-29,Fakturace (Ministerstvo obrany),60162694,A499,,,,,dodatek č. 1,
12149,12493,2016-07-18T17:28:56+02:00,2016-03-03,Fakturace (Ministerstvo obrany),60162694,A499,,,,,dodatek č. 2,
12153,12497,2016-07-18T17:29:14+02:00,2016-05-31,Fakturace (Ministerstvo obrany),60162694,A499,,,,,dodatek č. 3,
12157,12501,2016-07-18T17:35:42+02:00,2016-07-11,Ministerstvo životního prostředí,00164801,,165289.26,200000.0,,,Kvantifikace externích nákladů z výroby elektřiny a tepla pro referenční a anti-fosilní scénář,
12161,12505,2016-07-18T18:00:38+02:00,2016-07-12,ČESKÁ TELEVIZE,00027383,,140000.0,,,,"Smlouva o provedení činnosti, ČINNOST ASISTENTA PRODUKCE",
12165,12509,2016-07-18T18:00:33+02:00,2016-07-14,ČESKÁ TELEVIZE,00027383,,3140641.0,,,,Oprava stropu ve strojovně 505,
12169,12513,2016-07-18T18:16:08+02:00,2016-07-11,Obec Jilem,00666432,,659994.86,798593.78,,,Zasíťování stavebních parcel I. etapa,
12173,12517,2016-07-18T18:46:17+02:00,2016-07-15,"Masarykovo gymnázium, Příbor, příspěvková organizace",00601641,,931697.0,1127353.37,,,"Smlouva o dílo na ""Opravu obložení tělocvičny""",
12177,12521,2016-07-18T19:19:37+02:00,2016-07-11,"Povodí Labe, s.p.",70890005,,10990000.0,,,,"Předmětem smlouvy je koupě 4 nových, nepoužitých, kvalitních a úplných multifunkčních pracovních strojů s příslušenstvím dle požadavků kupujícího, stanovených technickými specifikacemi dodávky, doprava předmětu koupě na místo předání a záruční servis.",
12181,12525,2016-07-18T20:00:14+02:00,2016-06-24,Město Semily,00276111,,1095441.0,1325483.61,,,Dodatek č. 2_Licenční smlouva_licence a podpora provozu k programovému vybavení VERA Radnice,
12185,12529,2016-07-19T06:02:45+02:00,2016-07-11,Masarykova univerzita,00216224,,1083500.0,,,,Licenční smlouva MU - HPST,
12193,12537,2016-07-19T06:35:13+02:00,2016-07-15,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",00090450,,,929703.0,,,"Kupní smlouva, ACO11+, Třebíč",
12197,12541,2016-07-19T06:36:22+02:00,2016-07-07,Město Hodonín,00284891,Odbor ekonomiky a financí,4975.0,4975.0,,,Ševčíková Klára - mimořádná dotace - MS ve stolním tenise v Izraeli,
12201,12545,2016-07-19T06:39:38+02:00,2016-07-07,Město Hodonín,00284891,Odbor ekonomiky a financí,4975.0,4975.0,,,Ševčíková Markéta - mimořádná dotace - MS ve stolním tenise v Izraeli,
12205,12549,2016-07-19T06:42:54+02:00,2016-07-07,Město Hodonín,00284891,Odbor ekonomiky a financí,4975.0,4975.0,,,Ilčíková Anežka - mimořádná dotace - MS ve stolním tenise v Izraeli,
12209,12553,2016-07-19T06:45:33+02:00,2016-07-07,Město Hodonín,00284891,Odbor ekonomiky a financí,4975.0,4975.0,,,Šprtová Karolína - mimořádná dotace - MS ve stolním tenise v Izraeli,
12213,12557,2016-07-19T06:51:58+02:00,2016-07-08,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",00090450,,,274979.0,,,"Kupní smlouva, motorová nafta, Pelhřimov",3785
12217,12561,2016-07-19T06:52:30+02:00,2014-07-08,Město Hodonín,00284891,Odbor ekonomiky a financí,,,,,Smlouva o BS o zřízení služebnosti - MV,
12221,12565,2016-07-19T06:55:10+02:00,2016-07-01,Město Hodonín,00284891,Odbor ekonomiky a financí,,,,,Smlouva o BS o zřízení služebnosti - MV,
12229,12573,2016-07-19T07:10:21+02:00,2014-07-08,Město Hodonín,00284891,Odbor ekonomiky a financí,,,,,"Smlouva o BS o zřízení služebnosti - ČEPRO, a.s.",
12233,12577,2016-07-19T07:11:31+02:00,2016-07-15,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",00090450,,,76230.0,,,"Kupní smlouva, drť 0-32, TŘEBÍČ akce D1",
12237,12581,2016-07-19T07:13:23+02:00,2016-07-01,Město Hodonín,00284891,Odbor ekonomiky a financí,,,,,"Smlouva o BS o zřízení služebnosti - ČEPRO, a.s.",
12241,12585,2016-07-19T07:19:10+02:00,2016-07-13,Masarykův onkologický ústav,00209805,,127380.0,,,,Dodávka zdrav materiálu,
